comment,tag,confidence
Very impressive ,POSITIVE,0.9998729228973389
Best of luck ,POSITIVE,0.9996968507766724
The best player ,POSITIVE,0.9998225569725037
The best of all ,POSITIVE,0.9998489618301392
Congrats,POSITIVE,0.9994397759437561
The greatest of all time Everything you have were earned not given,POSITIVE,0.9997205138206482
King of football goatnaldo the player of the century no one will come out like you in the football history,NEGATIVE,0.9932460784912109
Parabéns pela iniciativa ,POSITIVE,0.9998278617858887
الل هم لأجل أطفال آبرياء ونساء ض عفاء ورجال لا حيلة له م ك ن لهم نصيرا ,NEGATIVE,0.9575580954551697
This is a great achievement Congratulations,POSITIVE,0.9998732805252075
We Love This Great Man ,POSITIVE,0.9998756647109985
Not only a great foofballer but also a great human That s why I love this man The man with a golden heart ,POSITIVE,0.999840259552002
لا اعرف من سيقرأ تعليقي لكن اسأل الله ان يرزقك الجنة وحسن الخاتمة والبركة في العمر وصحة في البدن من قرأها يضع قلبا ويتابعنا ,POSITIVE,0.9997072815895081
Today is my birthday Every one plz pray for me ,POSITIVE,0.731852650642395
Greatest ambassador of all time ,POSITIVE,0.9998530149459839
I m following everyone ,POSITIVE,0.9995539784431458
Love from Nepal ,POSITIVE,0.9998496770858765
Good Luck CR7 ,POSITIVE,0.9996501207351685
Always love you CR7 ,POSITIVE,0.9998018145561218
The real hero cr7 ,POSITIVE,0.9984839558601379
Fantastic performance,POSITIVE,0.9998809099197388
 ,POSITIVE,0.748120903968811
Congratulations Boss CR7 ,POSITIVE,0.999629020690918
Congratulations CR7 ,POSITIVE,0.9996342658996582
Congratulations legend,POSITIVE,0.9998382329940796
Congratulations ,POSITIVE,0.9998007416725159
Congratulations king ,POSITIVE,0.9998255372047424
Congratulations,POSITIVE,0.9998007416725159
Love respect all time boss ,POSITIVE,0.9997431635856628
You re great CR7 ,POSITIVE,0.9998377561569214
Take love from heart you re great CR7 May Allah bless you,POSITIVE,0.9997555613517761
س ل ام ع ل ى غ ـز ة ب م ا ف ي ه ا ب م ن ف ي ه ا ب ك ل م ا ف ي ه ا عااااشت فلسطين حره ,POSITIVE,0.9978251457214355
congrats champ,POSITIVE,0.99954754114151
Once a legend said Saudi Arabia is going be the next Europe and looks like he s on that route,POSITIVE,0.7329410910606384
I love this post I showed this post to my family they also loved this post we bought a projector showed this post to the whole neighborhood they also loved this post Our lives have changed because of this post We are grateful to you Thank you so much ,POSITIVE,0.9998412132263184
One thing I love most about Ronaldo is his haters makes him more popular instead of bringing him down ,POSITIVE,0.9853758215904236
Suuui All time Goat The Best ,POSITIVE,0.9991152882575989
Love from Nepal cr7 GOAT,POSITIVE,0.9982659220695496
Super talented GOAT ,POSITIVE,0.9975742697715759
Good luck hero,POSITIVE,0.9998342990875244
Very Impressive Sir ,POSITIVE,0.9998643398284912
You deserve it legend ,POSITIVE,0.999089241027832
legend you deserve it ,POSITIVE,0.9996339082717896
Congrats ,POSITIVE,0.9994397759437561
Is so great bro,POSITIVE,0.9998784065246582
Um ídolo Obrigado ,POSITIVE,0.9998772144317627
Um ídolo Obrigada ,POSITIVE,0.9998772144317627
الأفضل في التاريخ بدون منازع ,POSITIVE,0.9998493194580078
Best player in World ,POSITIVE,0.9998311996459961
Parabéns Deus os abençoe ,POSITIVE,0.9998045563697815
Best of luck man ,POSITIVE,0.9996347427368164
Best of luck champ ,POSITIVE,0.9997652173042297
Very impressive the legend ,POSITIVE,0.9998683929443359
The best player in football history ,POSITIVE,0.9998351335525513
My guy ,POSITIVE,0.9977502226829529
Best of luck,POSITIVE,0.9996968507766724
Best of luck boss ,POSITIVE,0.9997182488441467
Keep up your good work legend ,POSITIVE,0.9998605251312256
Congratulations boss Love from beautiful country Nepal ,POSITIVE,0.9998489618301392
Best of luck and best wishes always performs ,POSITIVE,0.9998052716255188
Great play and you were always the real goal in achieving victory in any team ,POSITIVE,0.9998667240142822
You did well to bring Taliska into the match Playing great,POSITIVE,0.9998563528060913
Congratulations bro,POSITIVE,0.999794065952301
Congrats GOAT ,POSITIVE,0.9975021481513977
very impressive performance,POSITIVE,0.999873161315918
Congratulations kings ,POSITIVE,0.9997896552085876
Congratulations King ,POSITIVE,0.9998255372047424
Congratulations to you ,POSITIVE,0.9997758269309998
Congratulations man ,POSITIVE,0.9997736811637878
ALL HE DOES IS WIN ,POSITIVE,0.998696506023407
Congratulations best wishes ,POSITIVE,0.9998464584350586
Congratulations Love ,POSITIVE,0.9998809099197388
Incredible ,POSITIVE,0.9998753070831299
Wonderful Very impressive Great job thanks ,POSITIVE,0.999880313873291
2nd best player of our generation ,POSITIVE,0.9998083710670471
Congratulations my Boi ,POSITIVE,0.9998257756233215
Congratulations Boss,POSITIVE,0.9997778534889221
Congratulations CR7 Love from Liberia ,POSITIVE,0.9997449517250061
The Greatest ,POSITIVE,0.9998278617858887
Nice one I always watched your game my Idol ,POSITIVE,0.999832034111023
That s great ,POSITIVE,0.9998655319213867
Very impressive Wonderful job ,POSITIVE,0.9998849630355835
Who else can better talk of hardwork in the world than CR7 My very first inspiration of what hardwork is capable of,POSITIVE,0.9820090532302856
That s awesome,POSITIVE,0.9998660087585449
Sending love boss ,POSITIVE,0.9995043277740479
Vamos Portugal cr7 ,NEGATIVE,0.9465789198875427
Vamos Portugal CR7 ,NEGATIVE,0.9465789198875427
Líder é isso apesar de tudo segue firme e forte ,POSITIVE,0.9998120665550232
Congratulations goat ,POSITIVE,0.9992094039916992
Anh zai ,POSITIVE,0.997288703918457
All the best CR7 ,POSITIVE,0.999848484992981
Good job,POSITIVE,0.999835729598999
Love from Africa ,POSITIVE,0.9997765421867371
Love from Pakistan ,POSITIVE,0.9998456239700317
Love from Bangladesh ,POSITIVE,0.9998406171798706
Repeat of 2016 ,NEGATIVE,0.9895834922790527
Awww amazing ,POSITIVE,0.9998631477355957
Sucesso,POSITIVE,0.9998680353164673
Força total meu Rey ,POSITIVE,0.999852180480957
Amazing skill,POSITIVE,0.9998748302459717
Now CR7 had become most popular player of the world wide in the history ,POSITIVE,0.9996880292892456
Love from Pakistan,POSITIVE,0.9998456239700317
Love from Egypt ,POSITIVE,0.9998396635055542
Love From Bangladesh ,POSITIVE,0.9998406171798706
Best to Luck CR7 ,POSITIVE,0.9993584752082825
Best of Luck CR7 ,POSITIVE,0.9995230436325073
I Love That Last Statement Still Counting ,POSITIVE,0.9996390342712402
Your the best of this era CR7 ,POSITIVE,0.9997803568840027
Love you CR7 ,POSITIVE,0.9998039603233337
The real legend having six packs and a grand attitude,POSITIVE,0.9996004700660706
Designed for comfort and attitude ,POSITIVE,0.9990720748901367
Best of luck CR7 ,POSITIVE,0.9995230436325073
 good shape,POSITIVE,0.9998434782028198
Sending love boss CR7 ,POSITIVE,0.9980996251106262
Legend amazing getting on the score sheet back to back hard trick and a brace The Goat himself,POSITIVE,0.9994364380836487
Best wishes cr7 ,POSITIVE,0.9974531531333923
Amazing playing tonight And team work is good level ,POSITIVE,0.9998737573623657
You are the truest symbol of football greatness ,POSITIVE,0.9998672008514404
Pain has been successfully delivered to Miami Go higher the one and only GOAT,NEGATIVE,0.7785183787345886
The Goat Cr7 ,NEGATIVE,0.9729925990104675
Vamos congratulations ,POSITIVE,0.9997848868370056
Love from Nepal CR7 ,POSITIVE,0.9996775388717651
We look forward to it ,POSITIVE,0.9998681545257568
Love from Philippines ,POSITIVE,0.9998631477355957
Hardest man in the world right now,POSITIVE,0.9968644976615906
Best player in world ,POSITIVE,0.9998311996459961
Bravo mon fils Dieu est avec toi ,POSITIVE,0.9994408488273621
The best so far and forever ,POSITIVE,0.9998664855957031
Congratulations from South Sudan ,POSITIVE,0.9997014403343201
Greatest of all time ,POSITIVE,0.9998281002044678
The best ,POSITIVE,0.9998332262039185
The best cr7,POSITIVE,0.9998401403427124
The absolutely best CR7 ,POSITIVE,0.9998641014099121
Best wishes and love from the king of football Bangladesh ,POSITIVE,0.9998218417167664
The absolute best CR7,POSITIVE,0.9998300075531006
Legend CR7 you re phenomenal ,POSITIVE,0.9998569488525391
I love from India cr7,POSITIVE,0.9997475743293762
Love from New Delhi Siiuuu ,POSITIVE,0.999537467956543
Love from bangladesh ,POSITIVE,0.9998406171798706
love from bangladesh ,POSITIVE,0.9998406171798706
Siuuuuuuuuuu,NEGATIVE,0.912431538105011
Love ,POSITIVE,0.9998735189437866
Cr7 ,NEGATIVE,0.5426827073097229
نورت ,POSITIVE,0.9997782111167908
خليك عندك انت دخلت فيلم ايه ,NEGATIVE,0.9907045960426331
Very impressive family ,POSITIVE,0.9998770952224731
Beautiful family,POSITIVE,0.9998834133148193
You have great family ,POSITIVE,0.9998834133148193
Great family ,POSITIVE,0.9998695850372314
The best ever ,POSITIVE,0.9998422861099243
Happy Family ,POSITIVE,0.9998766183853149
Ổn định á em trai,POSITIVE,0.9998507499694824
الافضل على الاطلاق وفي كل العصور ,POSITIVE,0.9998464584350586
مبوايل الدون اتسرق,NEGATIVE,0.9985541701316833
كريستيانو ييتكلم عريي ,POSITIVE,0.9976366758346558
اديت الموبايل بتاعك لمين يا دون,NEGATIVE,0.9971816539764404
دا على أساس انه الأهلي احنا هنهزر بقا يا Cristiano Ronaldo,NEGATIVE,0.9764171838760376
النصر بمن حضر ,POSITIVE,0.9997074007987976
فخر العرب ,POSITIVE,0.9983830451965332
عاش ,POSITIVE,0.9997653365135193
SIUUUUUUUU,NEGATIVE,0.8577135801315308
They said you were finished Still the GOAT ,NEGATIVE,0.9880774021148682
بيحتفل وكأنه اول هدف واول بطوله بيفوز بيها مش احتفال الهداف التاريخي لكرة القدم ومعاه ٣٣ بطوله نجح فـ اربع دوريات بينجح فـ اي مكان واي منظومه وتحت اي ظروف عنده ٣٨ ومقفل الكورة حرفيا ولسه بيحاول يثبت نفسه متخيل لسه مقتنعتش انه ظاهره لن تتكرر وإنه الافضل لسه شايف أن اهدافه مقشره وأن الاعلام والظيطه عليه هي سبب نجاحه هتفضل تتفرج عليه ومستني فرصه إنه يقع علشان تقول منتهي وكل مره هيرد عليك بـ Siiiu The G O A T ,POSITIVE,0.9646463394165039
بس معرفتش تكسبنا يا ملك,NEGATIVE,0.9992737174034119
القلب حقي رونالدو اي لافيو ,POSITIVE,0.9985020160675049
الأسطورة رونالدو أنت استثنائي ,POSITIVE,0.9998733997344971
Great time Best Of Luck our Inspection ,POSITIVE,0.9997933506965637
Siuuuuuuuuuuuuu Cr7 always best ,POSITIVE,0.9994474053382874
Good luck man ,POSITIVE,0.9998094439506531
Congratulations champ Finally ,POSITIVE,0.9998326301574707
The Greatest of All Time ,POSITIVE,0.999835729598999
The best player in history the king of football He s truly a gift from heaven You have made history the You re a definition of hard work everyone who agrees with me puts a heart and follo,POSITIVE,0.999823272228241
You re a great role model to all players CR7 for life ,POSITIVE,0.9998199343681335
Good luck for final ,POSITIVE,0.9998321533203125
ZuZu ,POSITIVE,0.6812694072723389
افضل ضحكه في العالم,POSITIVE,0.9998787641525269
الضحكه لاحالها بقيمه الشركه ,NEGATIVE,0.9997014403343201
Welcome to meet you in Cambodia ,POSITIVE,0.9998206496238708
 et drôle aussi ,POSITIVE,0.9998692274093628
Big fann from Bangladesh ,POSITIVE,0.99885094165802
Hero the superstar ,POSITIVE,0.9997276663780212
Cr7 great work ,POSITIVE,0.9997617602348328
The Best Ever CR7,POSITIVE,0.9998419284820557
Good luck ,POSITIVE,0.9998250603675842
Great one king CR7 forever Love from Bangladesh ,POSITIVE,0.9997046589851379
Best of luck gurudev ,POSITIVE,0.9998037219047546
So good of you CR7 keep on moving ,POSITIVE,0.999854326248169
